model,feature,importance
cost_base,analysis_yesterday_p95_bw,0.23228277
cost_base,analysis_nodecustmertype,0.11820127
cost_base,analysis_dby_p95_bw,0.08788792
cost_base,node_business_interaction_prior,0.0820779
cost_base,join_actualbw,0.05524251
cost_base,attribute_delivery_type,0.053760312
cost_base,join_disks_ssd_size,0.03145978
cost_base,join_limitbw,0.02840145
cost_base,bw,0.028335106
cost_base,business,0.026889037
cost_base,business_prior,0.021039454
cost_base,node_prior,0.018722877
cost_base,business_support_log1p,0.014514297
cost_base,node_std,0.01391204
cost_base,dialtype,0.011633244
cost_base,netbenchlimitbandwidth,0.011333004
cost_base,join_cpu_totalthreads,0.010502149
cost_base,city,0.01007283
cost_base,node_support_log1p,0.010017376
cost_base,analysis_supply_side_delivery_type,0.009325278
cost_base,actualbandwidth,0.009154371
cost_base,business_std,0.008898389
cost_base,join_disks_total_size,0.008691156
cost_base,outcome_delivery_type,0.008416131
cost_base,totaldisksize,0.0061342604
cost_base,join_disks_totalsize,0.005820346
cost_base,analysis_tcpnattype,0.005735688
cost_base,ssddisksize,0.0056223087
cost_base,hdddisksize,0.0047978107
cost_base,node_model,0.004763967
cost_base,analysis_upnpstate,0.0039580497
cost_base,join_cpu_totalcores,0.0037550912
cost_base,systemdisksize,0.0035657494
cost_base,province,0.003465392
cost_base,analysis_yesterday_snapshot_bw,0.0028870993
cost_base,dial_on_physical_nic,0.0028298988
cost_base,sevendayavg95ratio,0.0027393969
cost_base,analysis_lastdeployscenario,0.002655699
cost_base,node_manufacturer,0.0025910381
cost_base,corenum,0.0024983683
cost_base,memtotal,0.0024653913
cost_base,analysis_yesterday_snapshot_netbench_bw,0.002209485
cost_base,join_cpu_corenumber,0.0021814064
cost_base,scheduleisps,0.0021420077
cost_base,join_memtotal,0.0019938592
cost_base,isp,0.0018863967
cost_base,join_disks_system_size,0.0017797902
cost_base,qoskiller_status,0.0017652832
cost_base,analysis_issupportipv6,0.0014842966
cost_base,dial_lbtype_v6,0.0013813273
cost_base,join_disks_hdd_size,0.0011819653
cost_base,idc_id,0.0011691367
cost_base,analysis_cooperationtype,0.0011418799
cost_base,dial_ipv6_enable,0.0010709709
cost_base,type_conflict,0.0007743359
cost_base,analysis_udpnattype,0.00043979395
cost_base,nattype,0.00034175205
cost_base,resourcetype,0.0
cost_base,regsource,0.0
cost_base,customermode,0.0
cost_base,device_type,0.0
cost_base,arch_type,0.0
cost_base,isvm,0.0
cost_base,os,0.0
cost_base,arch,0.0
cost_base,hardwaretype,0.0
cost_base,idc_name,0.0
cost_base,analysis_nodedeliverytype,0.0
cost_base,analysis_cgroupversion,0.0
cost_base,analysis_lastdeploystate,0.0
cost_base,analysis_isroot,0.0
cost_base,dial_lbtype,0.0
cost_base,join_ismanaged,0.0
cost_base,join_isminorisp,0.0
cost_base,join_isbantransprov,0.0
cost_base,join_isipv6schedule,0.0
cost_base,join_natforwardenable,0.0
cost_base,join_idcbindtype,0.0
cost_base,join_deploystate,0.0
cost_base,join_cpu_totalphysicals,0.0
cost_base,join_biz_bw,0.0
cost_base,join_yesterday_avg_peak_ratio,0.0
cost_base,attribute_missing_flag,0.0
cost_similar,neighbor_prior_k3,0.2045713
cost_similar,neighbor_prior_k10,0.18946327
cost_similar,neighbor_prior_k5,0.13096315
cost_similar,neighbor_prior_k20,0.07760198
cost_similar,analysis_yesterday_p95_bw,0.055411607
cost_similar,analysis_dby_p95_bw,0.045196876
cost_similar,analysis_nodecustmertype,0.036433596
cost_similar,join_disks_ssd_size,0.015827857
cost_similar,analysis_yesterday_snapshot_bw,0.012301722
cost_similar,join_limitbw,0.01221013
cost_similar,analysis_yesterday_snapshot_netbench_bw,0.012145647
cost_similar,bw,0.0117085045
cost_similar,join_actualbw,0.010812676
cost_similar,analysis_udpnattype,0.009596053
cost_similar,node_std,0.008761259
cost_similar,neighbor_std_k10,0.008398637
cost_similar,actualbandwidth,0.007950061
cost_similar,node_prior,0.007915934
cost_similar,city,0.007466366
cost_similar,node_support_log1p,0.0069826636
cost_similar,business_support_log1p,0.006931274
cost_similar,dialtype,0.006617511
cost_similar,ssddisksize,0.0060570184
cost_similar,analysis_tcpnattype,0.0057888604
cost_similar,business_prior,0.005651501
cost_similar,node_business_interaction_prior,0.0055643814
cost_similar,business,0.005354004
cost_similar,join_disks_totalsize,0.005145643
cost_similar,corenum,0.004957268
