node_id,combined_rank,business,business_name,selected_by,source_count,amount_rank,revised_rank,amount_points,revised_points,combined_points,attribute_delivery_type,outcome_delivery_type,predicted_cost,predicted_revenue,predicted_amount_profit,amount_ranking_score,direct_profit_score,pairwise_profit_score,revised_profit_score,profit_training_support,recent7d_active_days,recent7d_first_day,recent7d_last_day
000f0e4c12c85746cb181feb196b4cd4,1,1382490022,快手盒子,both,2,1.0,1.0,3.0,3.0,6.0,aggregation,aggregation,20.23822,41.304424,21.066204,24.500480230940425,32.113438,-0.5731895,31.359327,76.0,7,2026-08-21,2026-08-27
000f0e4c12c85746cb181feb196b4cd4,2,10000300,B站-晚高峰21点,both,2,2.0,2.0,2.0,2.0,4.0,aggregation,aggregation,17.175291,31.887888,14.712597,17.059239455270422,22.411715,-1.2018324,19.464525,52.0,7,2026-08-21,2026-08-27
000f0e4c12c85746cb181feb196b4cd4,3,10000292,__MISSING__,debiased_profit,1,,3.0,0.0,1.0,1.0,aggregation,aggregation,25.741177,14.890456,-10.85072,-9.167090106121629,16.243677,-1.512254,12.213552,1647.0,7,2026-08-21,2026-08-27
000f0e4c12c85746cb181feb196b4cd4,4,10000244,B站专线-盒子V2,amount_profit,1,3.0,,1.0,0.0,1.0,aggregation,aggregation,82.79065,85.06693,2.2762833,3.223921065788986,9.779837,-1.9666682,4.164445,1318.0,7,2026-08-21,2026-08-27
000fbc591b2e8d4c9bafd14c30fabd87,1,10000000,腾讯汇聚直连,both,2,2.0,3.0,2.0,1.0,3.0,dedicated,aggregation,29.591516,59.41393,29.822412,32.93833522297759,32.08925,-1.5642618,27.87769,37.0,7,2026-08-21,2026-08-27
000fbc591b2e8d4c9bafd14c30fabd87,2,1382490022,快手盒子,debiased_profit,1,,1.0,0.0,3.0,3.0,dedicated,aggregation,1.8842343,10.6854515,8.801217,12.390583611054442,35.51803,-1.0629174,33.055458,76.0,7,2026-08-21,2026-08-27
000fbc591b2e8d4c9bafd14c30fabd87,3,10000183,B站专线-盒子,amount_profit,1,1.0,,3.0,0.0,3.0,dedicated,dedicated,8.45027,50.89651,42.446243,45.006283485695405,24.850657,-1.2319689,21.798332,96.0,7,2026-08-21,2026-08-27
000fbc591b2e8d4c9bafd14c30fabd87,4,10000034,优酷专线,debiased_profit,1,,2.0,0.0,2.0,2.0,dedicated,dedicated,37.26903,54.86667,17.597637,20.836118519308872,31.679993,-1.0627406,29.218037,32.0,7,2026-08-21,2026-08-27
000fbc591b2e8d4c9bafd14c30fabd87,5,1382649737,腾讯专线,amount_profit,1,3.0,,1.0,0.0,1.0,dedicated,dedicated,33.29277,61.717373,28.424603,30.34472571926136,18.223104,-1.3382716,14.799933,11.0,7,2026-08-21,2026-08-27
002acb37d4792574251c41ad27d4a179,1,1382522065,字节架构汇聚,both,2,1.0,1.0,3.0,3.0,6.0,aggregation,aggregation,0.0,0.0,0.0,1.972007600057483,10.009034,1.1789329,15.367367,19.0,7,2026-08-21,2026-08-27
002acb37d4792574251c41ad27d4a179,2,10000244,B站专线-盒子V2,both,2,2.0,2.0,2.0,2.0,4.0,aggregation,aggregation,0.0,0.0,0.0,1.4447365535887369,4.0032187,1.2475469,9.600918,1318.0,7,2026-08-21,2026-08-27
002acb37d4792574251c41ad27d4a179,3,10000000,腾讯汇聚直连,both,2,3.0,3.0,1.0,1.0,2.0,aggregation,aggregation,0.0,0.0,0.0,0.9963312592607539,-1.1005828,1.3048364,4.6969767,37.0,7,2026-08-21,2026-08-27
00337fab8beace7c442db478f0a53d91,1,10000079,字节架构汇聚V2,both,2,1.0,1.0,3.0,3.0,6.0,aggregation,aggregation,130.39375,152.85768,22.463928,24.669316250627578,20.627863,-1.133312,17.919712,1544.0,7,2026-08-21,2026-08-27
00337fab8beace7c442db478f0a53d91,2,1382490022,快手盒子,debiased_profit,1,,2.0,0.0,2.0,2.0,aggregation,aggregation,12.884276,17.374233,4.489957,6.3844980921730725,16.708643,-0.98434967,14.520162,76.0,7,2026-08-21,2026-08-27
00337fab8beace7c442db478f0a53d91,3,10000292,__MISSING__,amount_profit,1,2.0,,2.0,0.0,2.0,aggregation,aggregation,31.079033,50.147736,19.068703,20.76658035629009,16.997404,-1.6836447,12.369368,1647.0,7,2026-08-21,2026-08-27
00337fab8beace7c442db478f0a53d91,4,1382522065,字节架构汇聚,debiased_profit,1,,3.0,0.0,1.0,1.0,aggregation,aggregation,20.48037,15.774366,-4.706003,-2.9462566764224416,15.637471,-1.0998684,13.045992,19.0,7,2026-08-21,2026-08-27
